fecha,hora,precio
2017-07-19,00,64.520452
2017-07-20,00,64.540401
2017-07-21,00,65.50932
2017-07-22,00,64.512919
2017-07-23,00,64.504763
2017-07-24,00,64.606295
2017-07-25,00,65.966253
2017-07-26,00,64.639033
2017-07-27,00,64.603645
2017-07-28,00,64.869267
2017-07-29,00,65.027497
2017-07-30,00,66.912172
2017-07-31,00,64.621193
2017-08-01,00,65.229374
2017-08-02,00,64.499599
2017-08-03,00,64.872259
2017-08-04,00,64.330646
2017-08-05,00,64.283743
2017-08-06,00,64.343773
2017-08-07,00,65.60495
2017-08-08,00,64.311991
2017-08-09,00,65.379483
2017-08-10,00,65.287366
2017-08-11,00,64.271677
2017-08-12,00,67.274141
2017-08-13,00,67.388963
2017-08-14,00,66.834543
2017-08-15,00,67.35679
2017-08-16,00,66.050987
2017-08-17,00,70.543832
2017-08-18,00,73.659867
2017-08-19,00,93.371691
2017-08-20,00,95.537397
2017-08-21,00,95.037464
2017-08-22,00,94.3519
2017-08-23,00,101.777734
2017-08-24,00,105.861502
2017-08-25,00,109.883106
2017-08-26,00,110.277715
2017-08-27,00,109.190543
2017-08-28,00,118.961932
2017-08-29,00,118.351882
2017-08-30,00,129.03607
2017-08-31,00,129.367441
2017-09-01,00,128.524616
2017-09-02,00,132.830354
2017-09-03,00,141.190937
2017-09-04,00,130.545393
2017-09-05,00,129.829748
2017-09-06,00,128.816119
2017-09-07,00,128.656673
2017-09-08,00,129.130244
2017-09-09,00,124.768731
2017-09-10,00,122.377921
2017-09-11,00,124.5473
2017-09-12,00,104.40204
2017-09-13,00,121.099221
2017-09-14,00,164.748571
2017-09-15,00,67.309485
2017-09-16,00,109.696907
2017-09-17,00,111.086416
2017-09-18,00,98.630929
2017-09-19,00,66.110019
2017-09-20,00,70.631926
2017-09-21,00,112.619729
2017-09-22,00,114.590929
2017-09-23,00,122.609427
2017-09-24,00,113.700189
2017-09-25,00,84.61115
2017-09-26,00,109.115451
2017-09-27,00,104.963496
2017-09-28,00,110.544771
2017-09-29,00,71.118643
2017-09-30,00,94.631726
2017-10-01,00,97.054726
2017-10-02,00,112.958427
2017-10-03,00,73.668258
2017-10-04,00,115.348336
2017-10-05,00,116.822542
2017-10-06,00,74.091235
2017-10-07,00,123.945556
2017-10-08,00,111.593514
2017-10-09,00,117.101241
2017-10-10,00,121.940016
2017-10-11,00,117.357274
2017-10-12,00,119.950891
2017-10-13,00,123.84689
2017-10-14,00,120.986596
2017-10-15,00,126.274359
2017-10-16,00,121.369586
2017-10-17,00,127.072793
2017-10-18,00,132.631998
2017-10-19,00,123.049721
2017-10-20,00,140.030924
2017-10-21,00,156.555627
2017-10-22,00,138.967987
2017-10-23,00,149.396358
2017-10-24,00,149.931662
2017-10-25,00,156.151911
2017-10-26,00,163.02099
2017-10-27,00,144.922542
2017-10-28,00,135.988216
2017-10-29,00,136.758607
2017-10-30,00,65.670792
2017-10-31,00,66.853168
2017-11-01,00,109.128011
2017-11-02,00,111.546182
2017-11-03,00,135.88757
2017-11-04,00,141.204845
2017-11-05,00,136.217516
2017-11-06,00,128.713479
2017-11-07,00,131.203969
2017-11-08,00,125.425791
2017-11-09,00,138.201331
2017-11-10,00,125.675435
2017-11-11,00,125.125268
2017-11-12,00,136.627141
2017-11-13,00,137.190141
2017-11-14,00,141.18181
2017-11-15,00,147.111504
2017-11-16,00,148.671209
2017-11-17,00,148.199878
2017-11-18,00,129.622314
2017-11-19,00,122.156506
2017-11-20,00,68.319105
2017-11-21,00,66.813005
2017-11-22,00,66.980655
2017-11-23,00,76.003253
2017-11-24,00,87.912552
2017-11-25,00,96.009925
2017-11-26,00,76.369373
2017-11-27,00,76.703423
2017-11-28,00,71.134929
2017-11-29,00,71.257793
2017-11-30,00,65.58302
2017-12-01,00,71.402648
2017-12-02,00,75.644585
2017-12-03,00,77.046537
2017-12-04,00,64.513161
2017-12-05,00,70.870081
2017-12-06,00,72.674242
2017-12-07,00,75.560925
2017-12-08,00,81.44304
2017-12-09,00,77.362223
2017-12-10,00,78.111725
2017-12-11,00,70.297037
2017-12-12,00,71.383468
2017-12-13,00,71.039288
2017-12-14,00,74.408822
2017-12-15,00,74.948169
2017-12-16,00,75.304888
2017-12-17,00,72.261322
2017-12-18,00,72.777229
2017-12-19,00,77.157881
2017-12-20,00,83.036692
2017-12-21,00,103.668086
2017-12-22,00,108.472276
2017-12-23,00,113.550516
2017-12-24,00,121.579395
2017-12-25,00,126.669814
2017-12-26,00,132.538777
2017-12-27,00,140.61693
2017-12-28,00,133.468686
2017-12-29,00,124.216608
2017-12-30,00,163.364148
2017-12-31,00,150.364909
2018-01-01,00,123.167294
2018-01-02,00,104.201894
2018-01-03,00,104.139873
2018-01-04,00,132.136385
2018-01-05,00,128.855667
2018-01-06,00,133.502429
2018-01-07,00,132.560013
2018-01-08,00,121.20863
2018-01-09,00,120.655529
2018-01-10,00,132.152401
2018-01-11,00,130.369868
2018-01-12,00,128.346227
2018-01-13,00,128.480605
2018-01-14,00,129.362867
2018-01-15,00,61.760349
2018-01-16,00,121.521051
2018-01-17,00,118.588024
2018-01-18,00,114.65991
2018-01-19,00,103.731991
2018-01-20,00,97.640525
2018-01-21,00,89.28986
2018-01-22,00,104.784185
2018-01-23,00,107.574584
2018-01-24,00,102.988232
2018-01-25,00,88.632152
2018-01-26,00,83.506389
2018-01-27,00,118.445451
2018-01-28,00,113.97592
2018-01-29,00,118.33126
2018-01-30,00,116.298307
2018-01-31,00,116.984282
2018-02-01,00,126.893918
2018-02-02,00,127.258288
2018-02-03,00,137.61416
2018-02-04,00,140.207583
2018-02-05,00,137.997515
2018-02-06,00,64.325753
2018-02-07,00,131.820843
2018-02-08,00,64.213697
2018-02-09,00,116.657274
2018-02-10,00,129.7826
2018-02-11,00,133.349877
2018-02-12,00,129.468936
2018-02-13,00,129.137042
2018-02-14,00,69.310605
2018-02-15,00,123.582571
2018-02-16,00,125.528922
2018-02-17,00,124.917754
2018-02-18,00,126.331928
2018-02-19,00,127.630118
2018-02-20,00,127.492132
2018-02-21,00,127.304132
2018-02-22,00,132.842876
2018-02-23,00,141.70404
2018-02-24,00,133.528644
2018-02-25,00,141.039069
2018-02-26,00,144.132592
2018-02-27,00,143.584799
2018-02-28,00,141.355857
2018-03-01,00,133.734758
2018-03-02,00,137.848379
2018-03-03,00,143.793943
